LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
ekkitaago;apprendre;VIM
akooko;cotonnade grossiere;U
akoora;fusil;U
akooraaji;fusils;NCP
akooti;caisse;U
akootiiru;caisse;NCS
akorhon;pièges à souris;NCP
akoryel;piege à souris;NCS
aku;perroquet;U
akuuji;perroquets;NCP
al'aada;coutume;U
al'aadaaji;coutumes;NCP
alaahira;l'au-délà;U
alaama;signe;U
alaamaaji;signes;NCP
alad;dimanche;U
alalaaro'en;élèves d'une école coranique qui circule en mendiant ;NCP
alalaaroojo;élève d'une école coranique qui circule en mendiant ;NCS
alarba;mercredi;U
al'arsi;un des sept cieux;U
alawoya;tissu blanc;U
alawoyaaji;tissus blanc;NCP
albaasi;paie;U
albalaaji;calamités;NCP
albalaawol;calamité;NCS
albisir;exclamation, annonce d'une bonne nouvelle;U
albuttaaji;mouchoirs de tête;NCP
albutta;mouchoir de tête;U
aleewa;patisserie legère;U
alfaago;imiter les manieres de quelqu'un d'une codition superieure;VIM
alfaalu;augure, espoir;PPS
alfadariije;mulets;NCP
alfadariire;mulet;NCS
algafaaje;grands plateaux de vannerie à bords relevés ;NCP
algafaawo;grand plateau de vannerie à bords relevés ;NCS
algaytaaji;clarinettes;NCP
algaytaaru;clarinette;NCS
algusji;melanges;NCP
alguswa;melange;NCS
alhaali;pourtant;U
alhamiisa;jeudi;U
aliifi;lettre alif de l'alphabet ;U
alimleeko;bébé;NCS
alimleekoyel;bébé;NCS
alin;teinture noir pour tissus;U
aljaago;taquiner;VIM
aljanna;paradis;U
aljootirgo;se taquiner reciproquement;VIA
alkaago;etre juge;VIM
alkaali;juge;U
alkaali'en;juges;NCP
alkaaliiku;fonction de juge;NCS
alkamaaje;blés;NCP
alkamaari;blé;NCS
alkawal;contrat;NCS
alkaweeje;prieres supplementaires recitées;NCP
alkibbaaje;manteaux;NCP
alkibbaare;manteau;NCS
alkibila;direction de la mecque;U
alkindirgo;s'engager mutuellement;VIA
alkindirki;association;PPS
alkootiral;association;PPS
alkootirgo;s'engager mutuellement;VIA
alkugo;charger quelqu'un de transmettre un message;VIA
alluze;arbres à gomme;NCP
alluha;tablette de bois blanc servant d'ecritoire  aux élèves de l'école coranique ;NCS
alluhaaje;tablettes de bois blanc servant d'ecritoire  aux élèves de l'école coranique ;NCP
alluhawal;os plat de l'epaule;NCS
alluki;arbre à gomme;NCS
almasiihu;le messie;U
alooji;piques bœuf d'afrique ou petits oiseaux des buffles;NCP
alooru;pique bœuf d'afrique ou petit oiseau des buffles;NCS
alqur'aan;coran;U
altaago;toucher  involontairement;VIM
altine;lundi;U
alud;bois odorant;U
alyamru;flute;NCS
amaago;etre en paix;VIM
amaajo;aveugle;NCS
amaaleeji;chameaux males;NCP
amaalewa;chameau male;NCS
amaana;confiance;U
ama'en;aveugles;NCP
amda;à dessein;NCS
amdinaago;faire exprés;VIM
amdinaare;action faite à dessein;PPS
ameego;etre pacifié;VIP
amgo;pacifier;VIA
amharjaare;aphtes;NCS
amin;notre;AJPP
aminatu;nom propre de femme;NP
amiri'en;chefs;NCP
amiriijo;chef;NCS
ammaa;toutefois;C
amnugo;emmener le vaches au paturage de bon matin ;VIA
ampaago;donner une nourriture reconfortante à un animal ;VIM
ambulolooji;plantes dont l'ecorce se débite en nervures dans le sens du fil et sert de lien pour attacher la paille;NCP
ambulolowol;plante dont l'ecorce se débite en nervures dans le sens du fil et sert de lien pour attacher la paille;NCS
anndinki;enseignement;PPS
angaleeji;djellaba à col rond;NCP
angaleewol;djellaba à col rond;NCS
anjaka;amarante;NCS
anndal;"connaissance; science";PPS
anndango;connaitre quelques choses de quelqu'un;VIA
annde;connaissances;PPP
anndindirgo;se reconnaitre mutuellement;VIA
anndingo;faire savoir;VIA
annditanamji;devinettes;NCP
annditanamwol;devinette;NCS
annditgo;connaitre avec;VIA
annditinaago;se faire reconnaitre;VIM
annditingo;faire reconnaitre;VIA
annditol;reconnaitre ;PPS
anndugo;savoir;VIA
anninaago;avoir l'intention;VIM
anniya;intention;U
annoora;lumière;U
anumma;pour ainsi dire;U
arada;course;U
aradaaji;courses;NCP
aran;d'abord;AVT
ardaago;etre en tete;VIM
arzaago;devenir chef;VIM
ardaangal;commandement;PPS
arzo;chef;PPS
arzo'en;chefs;PPP
ardootirgo;marcher l'un devant l'autre;VIA
ardoove;"ceux qui vont en tete; guides";PPP
ardoowo;"celui qui va en tete; guide";PPS
ardoyaago;mourir;VIM
ardungal;maisonnée;PPS
aritaago;rattraper ;VIM
arnaazo;chef d'un groupement de population non islamisée;PPS
arnaave;chef d'un groupement de population non islamisée;PPP
arootiral;competition;PPS
arootirgo;essayer d'avoir la premiere place;VIA
arrewol;lettre de l'alphabet arabe;U
adruzum;ce qui sert à transporter;PPS
arsasje;cartouches;NCP
arsasre;cartouche;NCS
arzuve;chefs;PPP
arzugo;nommer;VIA
asaale;hanches;NCP
asaangal;hanche;NCS
asaasa;toile de jute dont on fait les sacs;U
asaasaaji;toiles de jute dont on fait les sacs;NCP
asaweeje;semaines;NCP
asaweere;semaine;NCS
asiri;apres-midi;AVT
asirri;secret;U
askar'en;soldats;NCP
askarjo;soldat;NCS
asli;origines;U
asngol;origine;NCS
asaana;allumette;U
assaanaaji;allumettes;NCP
ataamu;variole;U
atarasje;variété de noix de kola;NCP
atarasre;variété de noix de kola;NCS
atiimeejo;orphelin;NCS
atiime'en;orphelins;NCP
attaajiri'en;marchands riches et influents;NCP
attaajiriijo;marchand riche et influent;NCS
awlaago;emporter en s'envolant;VIM
awnaago;peser;VIM
awnitaago;vendre ou acheter une deuxieme fois;VIM
awraaje;anes à pelage;NCP
awraare;ane à pelage;NCS
awse;trypanosomiases bovines;NCP
awseego;etre atteint de maladie;VIP
awsere;trypanosomiase bovine;NCS
awsugo;etre affaibli;VIA
awwal;en premier lieu;U
ayaanga;ressemblance imparfaite;U
aybe;tort;U
aybewol;tort;NCS
aynango;garder;VIA
aynoove;gardiens;PPP
aynoowo;gardien;PPS
aynugo;garder;VIA
aysitaago;se laisser aller;VIM
aytinaago;se chauffer;VIM
ayye;interjection exprimant la tristesse;I
ayyee;ah! bon;I
ayyingo;désigner;VIA
aqgaltiiloohi;épée;NCS
aqgaltiilooje;épées;NCP
aziinarra;forme finale;U
aqkaltaaji;capitaines;NCP
aqkaltawu;capitaine;NCS
ba'aajo;clan peul des Ba;NCS
ba'aaku;inexpérience;NCS
baaba;père;NCS
baaba'en;pères;NCP
baabiraagu;paternité;NCS
baabiraaku;paternité;NCS
baabiraave;leur père;PPP
baabiraawo;leur père;PPS
baade;gouttes de pluie;NCP
ba'a'en;clan peul des Ba;NCP
baagaaje;tas;PPP
baale;travail de menage;PPP
baali;lettre arabe sans point diacritique;U
baalol;lettre arabe sans point diacritique;U
baamtugo;injurier qulqu'un;VIA
baaneewo;houe;NCS
baangi'en;hommes sans famille;NCP
baangiijo;homme sans famille;NCS
baanooje;houes;NCP
baaraago;louer;VIM
baaraaji;balancoire;NCP
baaraasa;alcool;U
baariki;bureau administratif;U
baasiira;prudence;U
baasiiraaji;prudences;NCP
baaskaago;aller mieux;VIM
baaskugo;faire aller mieux;VIA
baasuwaaje;pieces de bois dans les trous des laquelles on entravait les pieds des esclaves;NCP
baasuwaawal;piece de bois dans les trous de laquelle on entravait les pieds des esclaves;NCS
baasuweeje;piece sde bois dans les trous des laquelles on entravait les pieds des esclaves;NCP
baasuweewal;piece de bois dans les trous de laquelle on entravait les pieds des esclaves;NCS
baatal;aiguille;NCS
babaago;dépasser tous les autres et en etre fier;VIM
mbabiije;regions lombaires/poitrails;NCP
mbabiire;region lombaire/poitrail;NCS
baburum;cloison interieure;U
baburumji;cloisons interieures;NCP
badigor'en;hommes celibataires;NCP
badigorjo;homme celibataire;NCS
bagayya;pate de mil (cuite) reduite en petits morceaux;U
baguuhi;nom d'arbre: Maerua angolensis DC (Capparidacees).;NCS
baguuje;noms d'arbre: Maerua angolensis DC (Capparidacees).;NCP
bahe;barbes;NCP
bahiime;animal;U
bahiimeeji;animaux;NCP
bajooje;rappels d'un bienfait;PPP
baka;frere ainé;U
baka'en;freres ainés;NCP
bakeeje;cotés;PPP
bakkule;choses suspendues à l'épaule;NCP
bakkugel;petite barbe;NCS
bakureehi;arbuste sarmanteux;NCS
bakureeji;arbustes sarmanteux;NCP
balal;arete de feuille de palmier;NCS
bale;aretes de feuille de palmier;NCP
bali;feuilles de palmier;NCP
balingaago;atteindre l'age puberté;VIM
balki;sangsues;NCP
balkooji;etui à lances ;NCP
balkooru;etui à lances ;NCS
balmindirgo;se blesser mutuellement;VIA
balmugo;blesser avec une arme;VIA
balndango;parler à quelqu'un en usant d'un proverbe;VIA
balndi;proverbes;PPP
balnditanaago;repondre par un second proverbe;VIM
balndol;proverbe;PPS
balndugo;dire un proverbe;VIA
balol;feuille de palmier;NCS
balte;matinée;U
bam e bam;nez à nez;U
bambamnaago;gonfler;VIM
bambamnugo;gonfler;VIA
banndiigu;parenté;NCS
banndiraave;parents;NCP
banndiraawo;parent;NCS
bannidirgo;etre apparenté;VIA
bannjaaji;noms de certains mois de l'année peul;NCP
bannjaaru;noms de certains mois de l'année peul;NCS
bantaahi;fromager;NCS
bantaaho;feuille de fromager;NCS
bantaaje;fromager;NCP
bantaaje;fruits de fromager;NCP
bantaare;fruit de fromager;NCS
baygooje;citrouilles;NCP
baranda;petit commerce;U
barfinaago;etre affalé;VIM
barjahu;temps intermediaire entre la mort et le jugement;U
barka;bénédiction;U
barkaaji;bénédictions;NCP
barkizingo;bénir;VIA
barkizgo;etre béni;VIA
barraago;avertir;VIM
barrootirgo;s'avertir les uns les autres;VIA
baruudu;poudre pour fusil;U
baruwal;route;NCS
baruwe;routes;NCP
basel;penis, verge;NCS
basi;penis , verge;NCP
baskur;bicyclette;U
baskurhon;petites bicyclettes;NCP
baskurji;bicyclettes;NCP
bataakeeji;lettres;NCP
bataakewol;lettre;NCS
baate;aiguilles;NCP
battizingo;laisser des traces;VIA
baxaaji;perles;NCP
baxaawol;perle;NCS
bayantiije;pierres à aiguiser;NCP
bayantiire;pierre à aiguiser;NCS
bay-bay;tam-tam;U
baylaaji;petits tambours;NCP
bayli;tendons pris sur le dos d'une vache;NCP
baylol;tendon pris sur le dos d'une vache;NCS
baytal;tresor de la chefferie coutumiere;NCS
bayteego;revenir au tresor coutumier;VIP
baytugo;avoir une abondance;VIA
baytuuji;vers;NCP
baytuwol;vers;NCS
baqnge;pres de;U
becce;cotés;NCP
bedi;arrieres faix;NCP
bedol;arriere faix;NCS
be'el;petite chèvre;NCS
beembal;grenier à mil;NCS
beembe;greniers à mil;NCP
beeneene;maladie du millet;NCS
beezoohi;nom d'arbre;NCS
beezooje;noms d'arbre;NCP
be'i;chèvres;NCP
belbel;lampion;U
beli;peut-etre;U
benteeje;cache-sexe;NCP
benteere;cache-sexe;NCS
mbe'on;petites chèvres;NCP
bernaago;avertir;VIM
berniiji;grande ville;NCP
berniwol;grande ville;NCS
bernizgo;devenir une ville;VIA
bezeeje;éventails;NCP
bezeere;éventail;NCS
beetgol;aurore;PPS
bezi;plat;NCP
beetki;aurore;PPS
bezol;plat;NCS
biikaago;infliger une amende;VIM
biikorzi;serpettes;NCP
bijaahi;nom d'arbre;NCS
bijaaje;nom d'arbre;NCP
bijili;tresse;NCP
bijilol;tresse;NCS
bileeji;ailes;NCP
bileeji;ailes;NCP
bileewol;aile;NCS
bilinndooje;stomotites de cheval;NCP
bilinndoore;stomotite de cheval;NCS
bilwili;chauves- souris;NCP
bimnbi;demain matin de bonne heure;U
biyal ;marge;NCS
bobboki;fanon de zébu;NCP
bobbokol;fanon de zébu;NCS
bogobogolmaajo;faineant et parasite;NCS
bogobogolma'en;faineants et parasites;NCP
bokiti;seau;U
bokitiiji;seaux;NCP
bokolooje;testicules;NCP
bolle;paroles;NCP
boloxol;caecum;NCS
boloxi;caecums;NCP
bommboro;guimbarde;U
bondurji;pieces de tissu;NCP
bondurwol;piece de tissu;NCS
bone;souffrance;NCP
bonebonemaajo;fauteur de troubles;NCS
bonebonema'en;fauteurS de troubleS;NCP
boneeji;souffrance;NCP
bonewa ;souffrance;NCS
bongoliisa;culture mal faite;U
boobaago;etre déserté;VIM
boodal;bois de combretum leonense;NCS
boode;noms d'arbre: combretum leonense;NCP
boodi;nom d'arbre: combretum leonense;NCS
bookoore;langue francaise;NCS
boomeeje;lingot de fer;NCP
boomeere;lingot de fer;NCS
boonjokki;estomac;NCS
booraaji;racines ameres;NCP
boorawol;racine amere;NCS
booro;sac;NCS
boorooji;sacs;NCP
booroyel;petit sac;NCS
bordoode;crottes;NCP
borgooje;couvertures tissées;NCP
borgoore;couverture tissée;NCS
bortel;petite agnelle;NCS
borti;petites agnelles;NCP
boskorji;faisceaux de pailles;NCP
boskorwol;faisceau de paille;NCS
bossosel;cause;NCS
botaago;se procurer un avantage;VIM
botgo;etre utile;VIA
bovore;arbuste gommeux;NCS
bovori;arbuste gommeux;NCP
bozarlaahi;arbre assez grand;NCS
bozarlaaje;arbres assez grands;NCP
boy;beaucoup;U
boynaaji;silure;NCP
boqngo;gardien de prison coutumier;U
boqngo'en;gardiens de prison coutumier;NCP
boqngooji;sorte de serpette;NCP
boqngooru;sortes de serpettes;NCS
boqooje;oiseaux pecheurs;NCP
bubitaago;etre délaissé;VIM
bubitgo;laisser sans soins;VIA
buddel;pli de la peau à la base du petit doigt quand le point est fermé;NCS
budiije;brouillard de sable;NCP
budiire;brouillard de sable;NCS
budurwa;jeune fille nubile;U
budurwaajo;jeune fille nubile;NCS
budurwa'en;jeunes filles nubiles;NCP
bu'e ;selles;NCP
bugaago;avoir des taches bleu clair;VIM
buge;teinte bleu clair;NCP
bu'go;déféquer;VIA
bugumji;tubercule comestible;NCP
bugumwu;tubercule comestible;NCS
buhuuje;sacs;NCP
buhuure;sac;NCS
bujikura;tres grande natte;NCS
bujikuraaje;tres grandes nattes;NCP
bujikurawo;tres grande natte;NCS
bukeego;avoir besoin de ;VIP
buldumhi;petit arbuste à fruits comestibles;NCS
buldumje;petit arbuste à fruits comestibles;NCP
bulumwol;terrain inondé;NCS
bulwule;terrain sablonneuse;NCP
bumbumje;mont de venus;NCP
bumbumre;mont de venus;NCS
bummeehi;arbuste;NCS
bummeeje;arbustes;NCP
bumnaago;pousser plus vite que les autres (plantes);VIM
bumnugo;faire pousser plus vite ;VIA
bumooji;aveugles;NCP
bumsuze;poumons;NCP
bu'rudu;anus;NCS
bu'ruzi;anus;NCP
buubaakini'en;qui passe son temps à des occupations méprisables;NCP
buubaakiniijo;qui passe son temps à des occupations méprisables;NCS
buubaakiniiku;occupation méprisable;NCS
buubaakiniwal;occupation méprisable;NCS
buubi;taons/ mouches;NCP
buubuuti;soufflets de forgeron;NCP
buudaago;fabriquer et vendre des talismans;VIM
buudeejo;marabout fabricant;NCS
buudeeku;profession d'un tel marabout;NCS
buude'en;marabout fabricant;NCP
buudiiho;herbe seche;NCS
buudiije;herbes seches;NCP
buudoyaago;aller vendre des talismans;VIM
buuduudi;guepes maçonnes;NCP
buuluuli;petite abeille logeant dans les creux des arbres;NCP
buuzaago;etre un voyou;VIM
buuzi;fesse;NCP
caabeeje ;champs surtout d'arachide;NCP
caabule;savons;U
ca'ca'ti;chevaux nerveux;NCP
ca'ca'tu;cheval nerveux;NCS
caacindaago;terminer ce qu'on fait;VIM
caafaali;cynhyènes/ bruits du lait qui gicle a chaque mouvement de la main lors de la traite d'une vache;NCP
caafootiral;serrement des mains;PPS
caafoowo;commercant;PPS
caagal;colonne vertebrale;NCS
caagirze;mantes réligieuses;NCP
caahanze;leçons;NCP
caahiizum;certainnement;PPS
caahu;générosité;PPS
caaji;blancheurs du ventre de la vache;NCP
caajol;blancheur du ventre de la vache;NCS
caale;colonne vertebrale;NCP
caaliije;paniers;NCP
caasgal;tige de bois servant d'axe à une pelote;NCS
caasle;tige de bois servant d'axe à une pelote;NCP
caasuuje;pierres ponces;NCP
caasuuje;valets des pieds;NCP
Caatal;dureté;PPS
caawaawe;rosées;NCP
caawli;paquets;PPP
caazrugol;longue corde attaché à une bete et lui permettant de brouter;PPS
caazruzi;longues cordes attaché à des betes et leurs permettant de brouter;PPP
cabbi;batons;NCP
cabbi;cannes;NCP
cabbitaaki;remise à plus tard;PPS
cacaaje;indigotiers;NCP
cacaari;indigotier;NCS
caydiizo;martyr;PPS
cadki;rareté;PPS
cafze;puisettes;PPP
cafgal;puisette;PPS
cafoove;marchands;PPP
cafoowo;marchand ;PPS
cahaaje;sottise;PPP
cakaare;taille;NCS
cakdeeje;herbinettes;NCP
cake;ce qui reste dans le filtre après le filtrage;NCP
cakkaaje;vetements de dessous;NCP
cakkaari;repas offert aux amis à l'occasion du retour d'une personne;NCS
calaaje;propriétés;NCP
calaaje;enclos familliale;NCP
calka;lieu d'aisance;NCS
calkaaji;lieux d'aisance;NCP
callugol;foret;PPS
calluzi;forets;PPP
camcame;feuilles mortes;NCP
came;noms des arbustes;NCP
camgamji;petits arbustes secs;NCP
camgamwol;petits arbustes secs;NCS
cami;nom d'arbuste;NCS
cammeeje;panicules de sorgho;NCP
campe;déchets;NCP
cañargal;travail de tissage;PPS
cancorze;peignes;PPP
cancorze;démeloirs;PPP
candal;piquant de porc-epic/ pustule sur les gencives des bovins;NCS
sannjugo;changer;VIA
sannjugo;échanger;VIA
caññoowo;tisserand;PPS
caññoowo;tisserande;PPS
cantootiral;rencontre fortuite;PPS
canze;piquants de porc-epic/ pustules sur les gencives des bovins;NCP
cappa ;signe de renvoi;PPS
cappanze;dizaine;NUP
carfe;paie d'un ouvrier;NCP
cargaari;graminée à graine comestible;NCS
cargale;herbes courtes;NCP
camnballe;detritus secs de bois brisés;NCP
carwootiral;délibération ;PPS
carwootiral;concertation;PPS
catal;à cru, sans selle;NCS
cati;lignes d'ecriture;NCP
catol;ligne d'ecriture;NCS
cavaaje;fourches en bois;PPP
cavawal;fourche en bois;PPS
cavcavu;plaie suintante du betail, dermatophilose;NCS
cavorze;houes;PPP
cavval ;plateau;PPS
cavvawal;fondation;PPS
cavve;plateaux;PPP
cavvitaali;claquements de la langue;PPP
cawa;grande canne;NCS
cawel;petit baton;NCS
cawon;petits batons;NCP
cazeele;difficultés;PPP
cazki;difficulté;PPS
caybu;convoitise;NCS
caybu;envie;NCS
caqale;porc-épics;NCP
ca??argal;travail de tissage;PPS
caqeeje;campements militaire;NCP
ceedoowo;témoin;PPS
ceevooje;sources;NCP
ceevoowa;grande source;NCS
ceedal;séparation;PPS
ceedal;difference;PPS
ceede;cauris;NCP
seedoove;témoins;PPP
ceezu;saison chaude;NCS
ceekgol;déchirure;PPS
ceeltiizo;personne svelte;PPS
ceemze;biceps;NCP
ceembal;liane grimpante;NCS
ceembe;lianes grimpantes;NCP
ceerceernoowo;qui divorce constament;PPS
ceerle;divorces;PPP
ceerle;répudiations;PPP
ceeta;intercession;PPS
ceetinaali;appels à la prière;PPP
ceetinoowo;muezzin;PPS
seetnoove;muezzins;PPP
ceetoowo;intercesseur;PPS
cefe;troupeaux;NCP
cehoowo;ménuisier;PPS
cehrugal;herminette;PPS
cehrukon;herminettes;PPP
cekceko;étourdi;PPS
cekceko;qui oublie vite;PPS
cekembura;plante dont on mange les racines en temps de disette;NCS
cekemburaaje;plante dont on mange les racines en temps de disette;NCP
cekgol;fente;PPS
cekgol;fissure;PPS
celle;épillets;NCP
cemteele;retenues;PPP
cemteele;discrétions;PPP
cemteele;reserves;PPP
cemtoowo;réservé;PPS
cenndiigu;partage;PPS
cenndiigu;distribution;PPS
cenndindirki;différence;PPS
cenndindirki;distinction;PPS
ceergal;divorce;PPS
ceergal;répudiation;PPS
cergeeri;graminée à graine comestible;NCS
seetoove;intercesseurs;PPP
cidi;salpetre;PPS
cigoowo;celui qui s'occupe de;PPS
ci'am;eau qui tombe d'une goutière;PPS
ciikataaje;sorte des haches à pics;NCP
ciile;milans noirs;NCP
siilde;milan noir;NCS
ciilal;milan noir;NCS
ciiroowo;sorcier jeteur de sort;PPS
ciiroowo;sorcier jetter de sort;PPS
ciivaali;bruits d'aspiration;PPP
cikaaje;marmites;NCP
cikaaje;casseroles;NCP
cilaaje;paniers;NCP
cilaaje;corbeilles;NCP
cilanze;dépeçages;PPP
cili;fois;PPP
cili zizi;deux fois;NUP
cille;urines;PPP
cillitorol;incontinence d'urine;PPS
cilloowo;celui qui urine;PPS
cilluki;arbre à gomme;PPS
cilluze;arbres à gomme;NCP
cilminaali;des telles salutations;PPP
cilol;longuer du dos;PPS
cimati;auriculaires;NCP
cinndalaaje;enclumes;NCP
cippal;vente au détail;PPS
cippoowo;détaillant;PPS
cippoowo;détaillante;PPS
ciralleeje;cailloux gris;NCP
cirgu;guépard;NCS
cirvitorgal;lissoir;PPS
cirvitorgal;taloche;PPS
ciritorde;lissoirs;PPP
cirzi;guépards;NCP
ciszol;couleur baie;PPS
citta afo;gingimbre;NCS
citta boveeje;maniguette;NCS
citta masooro;poivre du benin;NCS
cittaaje;piments;NCP
cittaaje;poivres;NCP
cizootiral;imitation mutuelle;PPS
ciqkuze;plaintes;PPP
codruzum;instrument pour couper les tiges;PPS
cofal;poussin;NCS
cofal;perdrix;NCS
cofal;pintade;NCS
cofndindiral;chuchotement mutuelle;PPS
cofndootiral;chuchotement mutuelle;PPS
coggal;troupeau conduit au marché ou ramené;PPS
cogge;troupeaux conduits au marché ou ramenés;PPP
coggu;vente;PPS
coggu;achat;PPS
cokoliije;paniers;NCP
colli;oiseaux ;NCP
coofu;duplicité;PPS
coofu;dissumulation;PPS
cookaaku;dénuement;PPS
coleengol;amour, attachement très fort;NCS
cooloozi;grandes herbes;NCP
coomooje;surnoms;PPP
coottirze;rançons verser pour autrui;PPP
coozuuje;hérons;NCP
coozuwal;héron;NCS
coppe;poussins;NCP
coppe;pintades;NCP
coppe;pedrix;NCP
cotooje;plaies persistantes;NCP
coottorze;rançons verser pour soi meme;PPP
covvuli;coudes;NCP
cowi;doubles;PPP
cowol;double;PPS
cuddaaje;couvertures;PPP
cuddaaje;draps;PPP
cuddi;temps couvert;PPS
cufte;embryons ou fœtus d'un animal extrait du ventre de la vache;PPP
cujidirze;endroits ou l'on se prosterne;PPP
culaangu;situation de concubine;PPS
culhoowo;réconciliateur;PPS
culmanze;lavages de visages;PPP
cume;brulures;PPP
cuxe;bosses;NCP
curaali;foudres;NCP
cuuli;petits carnivores;NCP
cuumngol;barbouillage des levres;NCS
cuunnal;propos malveillants;PPS
cuunzo;qui est l'objet de racontars;PPS
cuurgol;colonne de fumée;PPS
cuurka;vapeur;PPS
cuurungal;vetements;PPS
